property_id,property_name,property_type,bedrooms,bathrooms,max_guests,price_per_night,property_description,location_id,location_name,location_city,location_state,location_country,location_zip,location_latitude,location_longitude,location_description,image_ids,image_urls,image_captions
PROP001,Ocean View Villa,Villa,4,3,8,450,Luxurious beachfront villa with panoramic ocean views private pool and modern amenities,LOC001,Beachfront Paradise,Miami Beach,Florida,USA,33139,25.7907,-80.1300,Prime beachfront location with stunning ocean views and walking distance to restaurants,"IMG001,IMG002,IMG003","https://images.unsplash.com/photo-1613490493576-7fde63acd811,https://images.unsplash.com/photo-1600596542815-ffad4c1539a9,https://images.unsplash.com/photo-1582268611958-ebfd161ef9cf","Luxury beachfront villa exterior,Modern living room with ocean views,Infinity pool overlooking the beach"
PROP002,Sunset Condo,Condo,2,2,4,225,Cozy beachside condo with direct beach access and beautiful sunset views,LOC001,Beachfront Paradise,Miami Beach,Florida,USA,33139,25.7907,-80.1300,Prime beachfront location with stunning ocean views and walking distance to restaurants,"IMG005,IMG006,IMG007","https://images.unsplash.com/photo-1512917774080-9991f1c4c750,https://images.unsplash.com/photo-1556912173-46c336c7fd55,https://images.unsplash.com/photo-1600607687939-ce8a6c25118c","Beach condo building exterior,Bright modern living area,Balcony with sunset ocean view"
PROP003,Alpine Chalet,Chalet,5,4,10,550,Spacious mountain chalet with ski-in ski-out access and hot tub,LOC002,Mountain Retreat,Aspen,Colorado,USA,81611,39.1911,-106.8175,Scenic mountain location perfect for skiing and hiking enthusiasts,"IMG008,IMG009,IMG010","https://images.unsplash.com/photo-1542718610-a1d656d1884c,https://images.unsplash.com/photo-1600585154340-be6161a56a0c,https://images.unsplash.com/photo-1600566753086-00f18fb6b3ea","Mountain chalet in winter,Cozy living room with fireplace,Outdoor hot tub with mountain views"
PROP004,Cozy Cabin,Cabin,2,1,4,175,Rustic cabin nestled in the woods perfect for a peaceful mountain getaway,LOC002,Mountain Retreat,Aspen,Colorado,USA,81611,39.1911,-106.8175,Scenic mountain location perfect for skiing and hiking enthusiasts,"IMG012,IMG013,IMG014","https://images.unsplash.com/photo-1587061949409-02df41d5e562,https://images.unsplash.com/photo-1602941525421-8f8b81d3edbb,https://images.unsplash.com/photo-1578645510447-e20b4311e3ce","Rustic wooden cabin in forest,Warm cabin interior with wood details,Cozy bedroom with mountain feel"
PROP005,Downtown Loft,Loft,1,1,2,185,Modern loft in the heart of downtown walking distance to everything,LOC003,Downtown Urban,Austin,Texas,USA,78701,30.2672,-97.7431,Vibrant downtown area close to live music venues and entertainment,"IMG015,IMG016,IMG017","https://images.unsplash.com/photo-1502672260266-1c1ef2d93688,https://images.unsplash.com/photo-1600607687644-c7171b42498f,https://images.unsplash.com/photo-1600607687920-4e2a09cf159d","Modern loft apartment building,Open concept loft with exposed brick,Industrial style kitchen and dining"
PROP006,City Penthouse,Penthouse,3,2.5,6,375,Stunning penthouse with rooftop terrace and skyline views,LOC003,Downtown Urban,Austin,Texas,USA,78701,30.2672,-97.7431,Vibrant downtown area close to live music venues and entertainment,"IMG018,IMG019,IMG020","https://images.unsplash.com/photo-1545324418-cc1a3fa10c00,https://images.unsplash.com/photo-1600607687939-ce8a6c25118c,https://images.unsplash.com/photo-1600566753190-17f0baa2a6c3","Luxury high-rise building,Rooftop terrace with city skyline,Elegant living room with panoramic windows"
PROP007,Lakehouse Escape,House,3,2,6,295,Charming lakehouse with private dock and kayaks included,LOC004,Lakeside Serenity,Lake Tahoe,California,USA,96150,38.9399,-119.9772,Peaceful lakeside setting with year-round recreational activities,"IMG021,IMG022,IMG023","https://images.unsplash.com/photo-1499696010180-025ef6e1a8f9,https://images.unsplash.com/photo-1598928506311-c55ded91a20c,https://images.unsplash.com/photo-1470252649378-9c29740c9fa8","Lakehouse with private dock,View from wooden dock on lake,Deck overlooking serene lake"
PROP008,Waterfront Cabin,Cabin,2,1,4,215,Intimate waterfront cabin with fireplace and mountain views,LOC004,Lakeside Serenity,Lake Tahoe,California,USA,96150,38.9399,-119.9772,Peaceful lakeside setting with year-round recreational activities,"IMG024,IMG025,IMG026","https://images.unsplash.com/photo-1464822759023-fed622ff2c3b,https://images.unsplash.com/photo-1600585154526-990dced4db0d,https://images.unsplash.com/photo-1600566752355-35792bedcfea","Cabin by the water at sunset,Stone fireplace in rustic cabin,Lake view from cabin window"
PROP009,Historic Townhouse,Townhouse,3,2.5,6,265,Beautifully restored townhouse with original architectural details,LOC005,Historic District,Charleston,South Carolina,USA,29401,32.7765,-79.9311,Charming historic neighborhood with cobblestone streets and Southern charm,"IMG027,IMG028,IMG029","https://images.unsplash.com/photo-1568605114967-8130f3a36994,https://images.unsplash.com/photo-1600585154340-be6161a56a0c,https://images.unsplash.com/photo-1600573472592-401b489a3cdc","Historic brick townhouse facade,Classic interior with period details,Private courtyard garden space"
PROP010,Garden Suite,Suite,1,1,2,155,Ground floor suite with private garden and southern porch,LOC005,Historic District,Charleston,South Carolina,USA,29401,32.7765,-79.9311,Charming historic neighborhood with cobblestone streets and Southern charm,"IMG030,IMG031,IMG032","https://images.unsplash.com/photo-1600585154363-67eb9e2e2099,https://images.unsplash.com/photo-1600047509807-ba8f99d2cdde,https://images.unsplash.com/photo-1585412727339-54e4bae3bbf9","Garden suite entrance with plants,Cozy suite interior,Private patio garden area"
